"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_3","FWB1_4","FWB1_5","FWB1_6","FWB2_1","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_1","FS1_2","FS1_3","FS1_4","FS1_5","FS1_6","FS1_7","FS2_1","FS2_2","FS2_3","SUBKNOWL1","ACT1_1","ACT1_2","FINGOALS","PROPPLAN_1","PROPPLAN_2","PROPPLAN_3","PROPPLAN_4","MANAGE1_1","MANAGE1_2","MANAGE1_3","MANAGE1_4","SAVEHABIT","FRUGALITY","AUTOMATED_1","AUTOMATED_2","ASK1_1","ASK1_2","SUBNUMERACY2","SUBNUMERACY1","CHANGEABLE","GOALCONF","LMscore"
"1",2,3,5,6,6,76,4,4,1,4,1,2,1,5,1,2,65,4,5,4,4,4,5,5,5,5,2,5,5,5,1,4,4,5,4,5,5,5,5,5,5,0,1,4,4,3,4,4,4,3
"1",1,3,6,7,7,61,3,5,2,4,1,3,2,4,2,2,57,4,5,4,4,4,3,5,4,3,4,5,5,4,1,4,3,5,5,5,4,5,4,6,6,1,1,5,3,6,6,3,3,3
"1",1,3,7,5,7,63,3,4,2,4,2,2,2,4,1,3,56,4,4,2,4,3,4,4,5,5,3,5,5,4,1,3,4,4,3,5,4,5,5,5,6,1,0,4,2,5,6,1,4,3
"1",1,3,2,3,3,57,3,2,3,3,3,3,2,3,1,2,32,2,3,3,2,2,2,2,3,3,3,3,2,2,0,3,3,3,3,5,3,2,3,3,4,0,0,2,3,4,3,4,2,1
"1",1,3,5,7,5,35,2,2,5,2,4,4,4,2,3,5,39,3,1,1,1,3,4,3,5,5,5,1,4,3,0,4,4,3,4,4,4,3,3,3,6,7,7,4,4,6,1,4,3,3
"1",1,2,7,7,7,46,1,3,3,2,3,4,3,2,3,3,49,5,3,3,4,2,3,3,3,3,3,4,4,3,1,5,2,3,3,4,3,1,4,3,3,7,1,2,4,1,4,6,3,3
"1",1,3,6,6,6,68,4,4,2,4,1,3,1,5,1,2,57,4,5,3,3,3,5,5,4,4,3,6,4,4,1,2,2,2,2,5,5,5,4,6,5,0,0,3,3,4,5,6,4,3
"1",1,3,6,6,6,57,3,2,2,3,3,4,1,3,3,2,55,3,5,4,4,3,5,4,4,5,3,5,5,4,1,3,3,2,2,5,4,5,5,5,6,0,1,5,4,6,6,5,4,3
"1",1,3,4,5,7,44,2,3,3,3,4,3,4,2,3,3,40,3,3,2,2,3,4,2,4,3,2,5,4,3,1,4,4,4,3,5,4,5,5,2,6,1,0,5,3,1,4,1,3,3
"1",1,3,5,5,6,48,2,2,3,3,3,3,3,2,3,3,38,3,3,2,3,2,3,2,3,3,3,4,3,2,1,4,4,3,3,3,2,2,3,4,5,1,1,3,3,2,3,3,3,3
